,Apartment_Name,Apartment_Add,Apartment_Price,Apartment_Tel,Apartment_Type,Apartment_Link
0,Heinz Lofts,"300 Heinz St, Pittsburgh, PA 15212","$1,415 - 3,437",(412) 847-5081,1-2 Bed,https://www.apartments.com/heinz-lofts-pittsburgh-pa/m0k293k/
1,KAUFMANNS GRAND ON FIFTH,"434 5th Ave, Pittsburgh, PA 15219","$1,130 - 2,579",(844) 459-8552,Studio - 2 Bed,https://www.apartments.com/kaufmanns-grand-on-fifth-pittsburgh-pa/db3d2xh/
2,The Commonwealth,"316 4th Ave, Pittsburgh, PA 15222","$1,100 - 2,710",(412) 685-8006,Studio - 2 Bed,https://www.apartments.com/the-commonwealth-pittsburgh-pa/85vsmz3/
3,Oakland Apartments,"4629 Bayard St, Pittsburgh, PA 15213",$899,(844) 291-8672,Studio,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/
4,Steiner Realty Shadyside,"5540 5th Ave, Pittsburgh, PA 15232","$1,400",(412) 528-2291,2 Bed,https://www.apartments.com/steiner-realty-shadyside-pittsburgh-pa/y6smjdv/
5,Shadyside Apartments,"5925 5th Ave, Pittsburgh, PA 15232","$2,099",(844) 525-1154,3 Bed,https://www.apartments.com/shadyside-apartments-pittsburgh-pa/pdep2qt/
6,Oak Hill Apartments,"22 Strayhorn Way, Pittsburgh, PA 15213","$1,395 - 1,760",(844) 209-9199,Studio - 2 Bed,https://www.apartments.com/oak-hill-apartments-pittsburgh-pa/m4pz40l/
7,"Franklin West Apartments, Leasing Office","272 Shady Ave, Pittsburgh, PA 15206","$1,210 - 1,740",(844) 823-6344,1-2 Bed,https://www.apartments.com/franklin-west-apartments-leasing-office-pittsburgh-pa/vs057fe/
8,Walnut on Highland,"121 S Highland Ave, Pittsburgh, PA 15206","$1,367 - 3,600",(412) 308-5384,Studio - 3 Bed,https://www.apartments.com/walnut-on-highland-pittsburgh-pa/nrrw3wp/
9,Carson Street Commons,"2525-2539 E Carson St, Pittsburgh, PA 15203","$1,420 - 3,975",(412) 847-5472,1-2 Bed,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/
10,The Brix at 26,"75 S 26th St, Pittsburgh, PA 15203","$1,400 - 2,800",(412) 275-0805,Studio - 2 Bed,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/
11,"Strip, Lawrenceville, Bloomfield Apartments","2501 Liberty Ave, Pittsburgh, PA 15222","$1,199 - 1,599",(412) 557-7409,2 Bed,https://www.apartments.com/strip-lawrenceville-bloomfield-apartments-pittsburgh-pa/mwz68gl/
12,Arsenal 201,"3922 Foster St, Pittsburgh, PA 15201","$1,190 - 4,035",(412) 557-7287,Studio - 3 Bed,https://www.apartments.com/arsenal-201-pittsburgh-pa/49f41lj/
13,Helm on the Allegheny,"2239 Railroad St, Pittsburgh, PA 15222","$1,035 - 3,280",(412) 419-1056,Studio - 2 Bed,https://www.apartments.com/helm-on-the-allegheny-pittsburgh-pa/wlezgzl/
14,City View Apartments,"1420 Centre Ave, Pittsburgh, PA 15219","$1,158 - 2,951",(412) 532-1007,Studio - 2 Bed,https://www.apartments.com/city-view-apartments-pittsburgh-pa/l1d4klg/
15,The Revival on Carson,"1700 E Carson St, Pittsburgh, PA 15203","$1,585 - 2,295",(412) 336-8107,1-2 Bed,https://www.apartments.com/the-revival-on-carson-pittsburgh-pa/csyjvqd/
16,Walnut Towers at Frick Park,"7070 Forward Ave, Pittsburgh, PA 15217","$1,330 - 2,115",(412) 206-5629,1-2 Bed,https://www.apartments.com/walnut-towers-at-frick-park-pittsburgh-pa/vbe85ne/
17,The District,"1679 Waterfront Plz, Pittsburgh, PA 15222","$1,370 - 2,995",(844) 471-1807,Studio - 3 Bed,https://www.apartments.com/the-district-pittsburgh-pa/exkm0fm/
18,The Pennsylvanian,"1100 Liberty Ave, Pittsburgh, PA 15222","$1,132 - 2,675",(866) 350-8444,Studio - 2 Bed,https://www.apartments.com/the-pennsylvanian-pittsburgh-pa/xtp479p/
19,Heinz 950,"950 Progress St, Pittsburgh, PA 15212","$1,299 - 1,839",(844) 709-6853,1 Bed,https://www.apartments.com/heinz-950-pittsburgh-pa/h7865f1/
20,Terminal 21,"615 First Ave, Pittsburgh, PA 15219","$1,215 - 2,401",(412) 557-7578,Studio - 2 Bed,https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/
21,Smallman Flats,"2908 Smallman St, Pittsburgh, PA 15201","$1,100 - 1,700",(412) 650-4666,Studio - 1 Bed,https://www.apartments.com/smallman-flats-pittsburgh-pa/kw5yr38/
22,The Cork Factory Lofts,"2349 Railroad St, Pittsburgh, PA 15222","$1,968 - 4,857",(866) 626-1231,1-3 Bed,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/
23,Highland House Tower by Albion,"5700 Bunkerhill St, Pittsburgh, PA 15206","$2,390 - 2,420",(844) 617-0572,1-3 Bed,https://www.apartments.com/highland-house-tower-by-albion-pittsburgh-pa/k8k522c/
24,Webster Hall Apartments,"101 N Dithridge St, Pittsburgh, PA 15213","$1,186 - 2,497",(412) 643-0144,Studio - 3 Bed,https://www.apartments.com/webster-hall-apartments-pittsburgh-pa/bd2hm3b/
25,One On Centre,"4500 Centre Ave, Pittsburgh, PA 15213","$1,785 - 1,805",(412) 533-2310,1 Bed,https://www.apartments.com/one-on-centre-pittsburgh-pa/p2phsns/
26,University Commons,"308 Mckee Pl, Pittsburgh, PA 15213","$960 - 3,000",(412) 837-3366,1-5 Bed,https://www.apartments.com/university-commons-pittsburgh-pa/ez9devn/
27,Baumhaus,"5522 Baum Blvd, Pittsburgh, PA 15232","$1,540 - 3,540",(844) 762-5514,Studio - 3 Bed,https://www.apartments.com/baumhaus-pittsburgh-pa/gxewllw/
28,Eastside Bond,"6105 Spirit St, Pittsburgh, PA 15206","$1,492 - 3,944",(844) 378-8494,Studio - 2 Bed,https://www.apartments.com/eastside-bond-pittsburgh-pa/cj0pksg/
29,The Flats at Southside Works,"2603-2655 E Carson St, Pittsburgh, PA 15203","$1,890 - 2,125",(412) 294-9540,Studio - 2 Bed,https://www.apartments.com/the-flats-at-southside-works-pittsburgh-pa/099wh00/
30,Bakery Living,"6350 Penn Ave, Pittsburgh, PA 15206","$1,495 - 4,640",(844) 814-2588,Studio - 2 Bed,https://www.apartments.com/bakery-living-pittsburgh-pa/3qd9wgf/
31,Fifth Avenue School Lofts,"1800 Fifth Ave, Pittsburgh, PA 15219","$2,250",(844) 202-0680,2 Bed,https://www.apartments.com/fifth-avenue-school-lofts-pittsburgh-pa/0jb5cg0/
32,The Yards at 3 Crossings,"2645 Railroad St, Pittsburgh, PA 15222","$1,560 - 3,510",(844) 750-1008,Studio - 2 Bed,https://www.apartments.com/the-yards-at-3-crossings-pittsburgh-pa/qeqhmgz/
33,Lot 24 Apartments,"2404 Railroad St, Pittsburgh, PA 15222","$1,161 - 2,447",(412) 567-4141,Studio - 2 Bed,https://www.apartments.com/lot-24-apartments-pittsburgh-pa/gd6mkey/
34,Crawford Square Apartments,"510 Protectory Pl, Pittsburgh, PA 15219","$1,352 - 2,940",(412) 567-5423,1-3 Bed,https://www.apartments.com/crawford-square-apartments-pittsburgh-pa/q5w7s4y/
35,Edge 1909,"1909 Waterfront Pl, Pittsburgh, PA 15222","$1,718 - 7,324",(844) 779-8909,1-2 Bed,https://www.apartments.com/edge-1909-pittsburgh-pa/33nh2kd/
36,930 Penn Ave,"930 Penn Ave, Pittsburgh, PA 15222","$2,300 - 3,000",(844) 855-0753,2 Bed,https://www.apartments.com/930-penn-ave-pittsburgh-pa/b91lvx8/
37,900 Penn,"900 Penn Ave, Pittsburgh, PA 15222","$1,300 - 2,500",(844) 577-3535,1-2 Bed,https://www.apartments.com/900-penn-pittsburgh-pa/xg5c9vp/
38,Bracken House,"100 Anderson St, Pittsburgh, PA 15212","$1,774 - 2,838",(888) 353-5443,1-2 Bed,https://www.apartments.com/bracken-house-pittsburgh-pa/5bgqxtq/
39,Aria Cultural District Lofts,"121 7th St, Pittsburgh, PA 15222","$1,600",(844) 723-3301,1 Bed,https://www.apartments.com/aria-cultural-district-lofts-pittsburgh-pa/lrkw6fe/
40,The Waterfront Apartments and Townhomes,"611 E Waterfront Dr, Munhall, PA 15120","$1,315 - 3,705",(412) 368-9408,1-3 Bed,https://www.apartments.com/the-waterfront-apartments-and-townhomes-munhall-pa/8gvtzh1/
41,Encore Apartments,"100 7th St, Pittsburgh, PA 15222","$1,900 - 4,000",(888) 843-1690,1-2 Bed,https://www.apartments.com/encore-apartments-pittsburgh-pa/emw3glm/
42,Chalfont Apartments,"4742 Centre Ave, Pittsburgh, PA 15213",Call for Rent,(412) 533-5345,Studio - 2 Bed,https://www.apartments.com/chalfont-apartments-pittsburgh-pa/3smnm9f/
43,Albion at Morrow Park,"5250 Liberty Ave, Pittsburgh, PA 15224","$1,350 - 3,805",(412) 347-1025,Studio - 3 Bed,https://www.apartments.com/albion-at-morrow-park-pittsburgh-pa/xpg1ngq/
44,Live South Side,"26 S 28th St, Pittsburgh, PA 15203","$1,529 - 1,711",(412) 545-5787,Studio - 2 Bed,https://www.apartments.com/live-south-side-pittsburgh-pa/hf3z3z0/
45,Doughboy Square Apartments,"3459 Butler St, Pittsburgh, PA 15201","$1,800 - 1,900",(412) 347-1287,2 Bed,https://www.apartments.com/doughboy-square-apartments-pittsburgh-pa/vwnsh0e/
46,Cornerstone Village Phase I,"185 Larimer Ave, Pittsburgh, PA 15206",Call for Rent,(412) 714-9016,1-4 Bed,https://www.apartments.com/cornerstone-village-phase-i-pittsburgh-pa/5wkmn7n/
47,Union on 5th Avenue,"1030 5th Ave, Pittsburgh, PA 15219","$1,010 - 1,800",(844) 821-5244,2-3 Bed,https://www.apartments.com/union-on-5th-avenue-pittsburgh-pa/k8y2zrb/
48,Allegheny Apartments,"429 Forbes Ave, Pittsburgh, PA 15219","$1,280 - 2,240",(412) 690-0268,1-2 Bed,https://www.apartments.com/allegheny-apartments-pittsburgh-pa/zkjt6xw/
49,The Clark Building,"717 Liberty Ave, Pittsburgh, PA 15222","$1,200 - 1,895",(724) 318-4477,1-2 Bed,https://www.apartments.com/the-clark-building-pittsburgh-pa/r2yslm2/
50,EIGHTH & PENN,"711-713 Penn Ave, Pittsburgh, PA 15222","$985 - 5,500",(412) 748-1949,Studio - 3 Bed,https://www.apartments.com/eighth-penn-pittsburgh-pa/bmw0rqb/
51,Devon Towers,"4920 CENTRE Ave, Pittsburgh, PA 15213","$974 - 1,505",(844) 248-8214,Studio - 2 Bed,https://www.apartments.com/devon-towers-pittsburgh-pa/r9y0cp1/
52,Amberson Gardens,"1-4 Bayard Rd, Pittsburgh, PA 15213","$1,030 - 1,372",(844) 783-3361,1-2 Bed,https://www.apartments.com/amberson-gardens-pittsburgh-pa/w2vgfbj/
53,Morewood Court,"319-323 Morewood Ave, Pittsburgh, PA 15213",$895 - 970,(844) 784-1303,1 Bed,https://www.apartments.com/morewood-court-pittsburgh-pa/qkwekrw/
54,Shadyside Commons,"401 Amberson Ave, Pittsburgh, PA 15232",Call for Rent,(412) 208-4328,1-2 Bed,https://www.apartments.com/shadyside-commons-pittsburgh-pa/f0n2tvs/
55,Hudson Oakland,"515-517 Semple St, Pittsburgh, PA 15213","$1,199 - 1,599",(844) 238-4282,2 Bed,https://www.apartments.com/hudson-oakland-pittsburgh-pa/2q5c68b/
56,The Royal Plaza Rockwel Realty Leasing,"5506 5th Ave, Pittsburgh, PA 15232","$1,450",(844) 219-2318,2 Bed,https://www.apartments.com/the-royal-plaza-rockwel-realty-leasing-pittsburgh-pa/3s5lycg/
57,Arlington,"515 S Aiken Ave, Pittsburgh, PA 15232","$685 - 1,780",(844) 482-7905,Studio - 2 Bed,https://www.apartments.com/arlington-pittsburgh-pa/pr2nf1t/
58,Negley Court,"5620 5th Ave, Pittsburgh, PA 15232","$745 - 1,400",(844) 327-3495,Studio - 2 Bed,https://www.apartments.com/negley-court-pittsburgh-pa/k28meyb/
59,Ellsworth Towers,"5700 Ellsworth Ave, Pittsburgh, PA 15232",$975,(844) 888-0133,1 Bed,https://www.apartments.com/ellsworth-towers-pittsburgh-pa/sr1w287/
